date,Median,High_80,Low_80,Infections,Adjusted_Postive
2020-02-26,1.978,2.302,1.713,176.353,0.000
2020-02-27,1.978,2.226,1.664,2.496,0.000
2020-02-28,1.960,2.223,1.674,35.391,0.000
2020-02-29,1.956,2.230,1.708,67.436,0.000
2020-03-01,1.947,2.183,1.697,75.027,0.000
2020-03-02,1.938,2.172,1.701,81.051,0.000
2020-03-03,1.923,2.137,1.698,93.122,12.505
2020-03-04,1.887,2.110,1.690,107.884,19.487
2020-03-05,1.855,2.058,1.656,123.792,24.422
2020-03-06,1.819,1.985,1.603,141.397,29.845
2020-03-07,1.776,1.920,1.563,161.040,37.037
2020-03-08,1.729,1.895,1.560,182.678,43.810
2020-03-09,1.666,1.831,1.514,206.228,52.841
2020-03-10,1.598,1.749,1.465,231.417,60.635
2020-03-11,1.539,1.660,1.407,257.787,70.260
2020-03-12,1.477,1.588,1.346,284.777,82.093
2020-03-13,1.411,1.523,1.297,311.840,93.964
2020-03-14,1.356,1.455,1.260,338.454,107.963
2020-03-15,1.301,1.408,1.212,364.036,123.477
2020-03-16,1.248,1.356,1.168,387.989,141.375
2020-03-17,1.208,1.292,1.115,409.682,160.055
2020-03-18,1.171,1.271,1.091,429.446,180.638
2020-03-19,1.148,1.218,1.055,446.868,202.880
2020-03-20,1.126,1.200,1.038,462.175,226.450
2020-03-21,1.113,1.197,1.042,475.748,250.987
2020-03-22,1.102,1.184,1.031,487.856,276.389
2020-03-23,1.095,1.175,1.021,498.795,301.952
2020-03-24,1.092,1.167,1.014,508.886,327.342
2020-03-25,1.098,1.183,1.017,518.504,352.311
2020-03-26,1.097,1.180,1.022,527.963,376.614
2020-03-27,1.100,1.169,1.019,537.479,399.793
2020-03-28,1.102,1.190,1.029,547.254,421.784
2020-03-29,1.108,1.171,1.016,557.472,442.349
2020-03-30,1.110,1.194,1.039,568.265,461.659
2020-03-31,1.113,1.196,1.037,579.681,479.614
2020-04-01,1.118,1.204,1.037,591.737,496.399
2020-04-02,1.119,1.195,1.024,604.470,512.060
2020-04-03,1.122,1.202,1.037,617.828,526.864
2020-04-04,1.123,1.204,1.033,631.769,540.917
2020-04-05,1.125,1.202,1.036,646.340,554.474
2020-04-06,1.125,1.201,1.042,661.528,567.672
2020-04-07,1.126,1.222,1.058,677.116,580.737
2020-04-08,1.121,1.203,1.043,693.001,593.792
2020-04-09,1.124,1.195,1.037,709.163,607.018
2020-04-10,1.118,1.190,1.029,725.611,620.409
2020-04-11,1.119,1.202,1.042,742.353,634.158
2020-04-12,1.121,1.203,1.033,759.402,648.315
2020-04-13,1.120,1.210,1.047,776.865,662.937
2020-04-14,1.127,1.213,1.051,794.832,677.978
2020-04-15,1.127,1.212,1.048,813.255,693.500
2020-04-16,1.131,1.219,1.055,832.547,709.463
2020-04-17,1.132,1.208,1.047,852.771,725.861
2020-04-18,1.132,1.221,1.052,873.646,742.690
2020-04-19,1.141,1.229,1.059,895.310,759.910
2020-04-20,1.145,1.225,1.060,918.041,777.553
2020-04-21,1.146,1.232,1.068,942.119,795.618
2020-04-22,1.154,1.230,1.062,967.665,814.166
2020-04-23,1.157,1.248,1.079,994.541,833.202
2020-04-24,1.162,1.245,1.071,1022.789,852.816
2020-04-25,1.165,1.242,1.069,1052.758,873.049
2020-04-26,1.168,1.248,1.078,1084.574,893.935
2020-04-27,1.177,1.253,1.082,1118.177,915.599
2020-04-28,1.180,1.264,1.094,1153.537,938.124
2020-04-29,1.179,1.268,1.094,1190.694,961.609
2020-04-30,1.182,1.274,1.097,1229.750,986.137
2020-05-01,1.187,1.260,1.080,1270.878,1011.849
2020-05-02,1.185,1.278,1.101,1313.979,1038.785
2020-05-03,1.189,1.272,1.090,1358.882,1067.142
2020-05-04,1.187,1.268,1.094,1405.549,1096.981
2020-05-05,1.180,1.274,1.097,1453.715,1128.387
2020-05-06,1.180,1.255,1.081,1503.304,1161.447
2020-05-07,1.177,1.262,1.090,1554.439,1196.250
2020-05-08,1.171,1.253,1.083,1606.968,1232.872
2020-05-09,1.172,1.272,1.100,1660.530,1271.369
2020-05-10,1.171,1.255,1.086,1715.093,1311.774
2020-05-11,1.169,1.258,1.098,1770.943,1354.092
2020-05-12,1.166,1.243,1.075,1828.004,1398.301
2020-05-13,1.166,1.245,1.087,1886.103,1444.376
2020-05-14,1.162,1.253,1.096,1945.248,1492.285
2020-05-15,1.159,1.222,1.070,2005.736,1541.961
2020-05-16,1.157,1.241,1.080,2067.379,1593.328
2020-05-17,1.162,1.254,1.085,2129.616,1646.322
2020-05-18,1.162,1.265,1.091,2192.754,1700.889
2020-05-19,1.158,1.243,1.068,2257.841,1756.976
2020-05-20,1.162,1.243,1.066,2325.410,1814.527
2020-05-21,1.160,1.251,1.078,2394.969,1873.514
2020-05-22,1.162,1.246,1.078,2466.463,1933.911
2020-05-23,1.162,1.260,1.088,2540.335,1995.660
2020-05-24,1.166,1.256,1.090,2616.944,2058.702
2020-05-25,1.170,1.252,1.091,2696.968,2123.058
2020-05-26,1.168,1.247,1.088,2780.539,2188.843
2020-05-27,1.173,1.253,1.096,2867.625,2256.174
2020-05-28,1.177,1.257,1.098,2958.191,2325.152
2020-05-29,1.179,1.251,1.092,3052.931,2395.895
2020-05-30,1.186,1.269,1.100,3152.585,2468.557
2020-05-31,1.188,1.266,1.096,3257.791,2543.350
2020-06-01,1.188,1.275,1.108,3369.087,2620.510
2020-06-02,1.189,1.263,1.085,3486.370,2700.266
2020-06-03,1.195,1.271,1.093,3609.039,2782.829
2020-06-04,1.192,1.269,1.097,3737.187,2868.437
2020-06-05,1.190,1.266,1.097,3871.026,2957.374
2020-06-06,1.193,1.279,1.106,4009.749,3049.990
2020-06-07,1.192,1.292,1.120,4152.994,3146.678
2020-06-08,1.195,1.286,1.111,4301.320,3247.828
2020-06-09,1.193,1.268,1.097,4455.978,3353.750
2020-06-10,1.191,1.277,1.109,4617.093,3464.702
2020-06-11,1.189,1.258,1.093,4783.009,3580.907
2020-06-12,1.179,1.273,1.108,4952.857,3702.503
2020-06-13,1.179,1.249,1.091,5126.472,3829.543
2020-06-14,1.172,1.251,1.084,5302.888,3962.064
